id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
561452,dan-chesters,28,2,5,2,1,-,2.106',,
693066,kamarai-swyer,25,5,4,5,-,-,1.389',,
531461,armstrong-oko-flex,24,13,1,2,-,-,2.002',,
670877,sonny-perkins,30,16,2,1,-,-,2.284',,
463527,kjell-scherpen,13,-,,-,-,-,1.200',19,3
576314,jan-paul-van-hecke,32,1,1,12,-,1,2.737',,
503858,antef-tsoungui,15,-,-,4,-,1,1.230',,
580809,ed-turns,28,1,2,6,-,-,2.520',,
567597,odel-offiah,26,-,-,2,-,-,1.911',,
284857,marc-cucurella,39,1,2,6,-,-,3.290',,
580030,james-furlong,27,1,4,5,1,-,2.412',,
490307,enock-mwepu,22,3,6,2,-,-,1.192',,
463751,marc-leonard,27,4,3,5,-,-,2.408',,
568005,jeremy-sarmiento,14,1,-,-,-,-,450',,
724537,andy-moran,27,5,4,1,-,-,1.948',,
776798,abdallah-sima,15,4,1,-,-,-,764',,
648046,evan-ferguson,24,10,1,-,-,-,1.431',,
520624,bruno-guimaraes,42,5,7,6,-,-,2.902',,
626291,lucas-de-bolle,19,2,5,2,-,-,1.348',,
614811,joe-white,31,2,7,7,-,-,2.109',,
418561,kristoffer-klaesson,24,-,,2,-,-,2.105',51,4
746067,kris-moore,28,-,1,2,-,-,2.225',,
374139,junior-firpo,28,-,2,11,-,-,1.995',,
661208,leo-fuhr-hjelde,16,-,-,2,-,-,1.080',,
614082,liam-mccarron,24,1,1,1,-,-,1.593',,
581677,nohan-kenneh,28,1,1,4,-,-,2.245',,
922693,archie-gray,26,3,2,2,-,-,1.725',,
592474,stuart-mckinstry,25,2,4,3,-,-,1.481',,
379807,lyanco,18,-,-,3,-,-,1.103',,
318523,romain-perraud,23,1,1,4,-,-,1.925',,
565406,kazeem-olaigbe,25,14,5,2,-,-,2.205',,
866655,tyler-dibling,22,8,5,1,-,-,1.464',,
262749,david-raya,25,-,,1,-,-,2.250',31,8
453704,alvaro-fernandez,16,-,,-,-,-,1.440',28,2
429563,patrik-gunnarsson,31,-,,2,-,-,2.820',54,8
456292,ellery-balcombe,18,-,,1,-,-,1.620',23,5
741236,matthew-cox,-,-,,-,-,-,-,-,-
328658,kristoffer-ajer,28,1,2,5,-,-,2.267',,
442248,ethan-pinnock,35,1,1,1,-,-,2.967',,
125314,pontus-jansson,39,3,2,7,-,-,3.502',,
372240,mads-bech-sorensen,15,-,-,3,-,-,1.143',,
376856,charlie-goode,10,-,-,3,-,1,715',,
134277,julian-jeanvier,-,-,-,-,-,-,-,,
339556,rico-henry,37,3,-,2,-,-,2.958',,
503688,dominic-thompson,22,-,1,3,-,-,1.775',,
391005,mads-roerslev,26,1,2,2,-,-,1.540',,
587019,fin-stevens,4,-,-,-,-,-,130',,
586984,daniel-oyegoke,-,-,-,-,-,-,-,,
148367,christian-norgaard,38,3,4,8,-,-,3.201',,
270171,vitaly-janelt,35,4,1,4,-,-,2.596',,
319859,mathias-jensen,35,-,2,-,-,-,1.932',,
421637,frank-onyeka,24,-,-,4,-,-,1.198',,
533916,shandon-baptiste,25,1,-,-,1,-,1.026',,
462832,mads-bidstrup,21,-,2,3,-,-,1.295',,
470596,paris-maghoma,-,-,-,-,-,-,-,,
204294,saman-ghoddos,23,1,5,3,-,-,914',,
587002,myles-peart-harris,2,-,-,-,-,-,27',,
388165,yoane-wissa,34,10,2,-,-,-,1.580',,
249873,tariqe-fosu,3,-,-,-,-,-,105',,
596216,max-haygarth,-,-,-,-,-,-,-,,
413039,bryan-mbeumo,38,8,7,4,-,-,3.056',,
581679,nathan-young-coombes,1,-,-,-,-,-,3',,
404584,marcus-forss,23,7,3,1,-,-,1.042',,
465606,halil-dervisoglu,34,5,1,3,-,-,1.827',,
724529,tayo-adaramola,28,2,3,3,1,-,2.383',,
814811,jack-wells-morrison,25,1,1,3,-,-,2.175',,
566723,michael-olise,32,4,9,4,-,-,1.564',,
596821,scott-banks,19,10,4,1,1,-,1.284',,
344152,odsonne-edouard,42,9,5,7,-,-,2.287',,
586986,luke-plange,37,9,4,2,-,-,2.393',,
703474,robert-street,35,9,2,5,-,-,2.309',,
504042,daniel-barden,1,-,,-,-,-,90',1,-
288948,aston-oxborough,22,-,,2,-,-,1.980',35,5
403564,jon-mccracken,10,-,,1,-,-,900',12,4
621993,andrew-omobamidele,7,1,-,1,-,-,561',,
511802,rocky-bushiri,17,-,-,8,-,1,1.356',,
696762,jonathan-tomkinson,23,3,-,5,-,-,2.081',,
295630,dimitrios-giannoulis,22,-,1,2,-,-,1.406',,
433186,bali-mumba,20,2,3,3,-,-,1.421',,
257805,mathias-normann,29,1,2,8,-,-,2.043',,
377393,pierre-lees-melou,37,1,1,7,-,-,2.620',,
390664,jacob-lungi-sorensen,12,-,-,1,-,-,781',,
724785,liam-gibbs,23,-,6,4,-,-,2.035',,
451677,christos-tzolis,20,2,3,1,-,-,739',,
383109,przemyslaw-placheta,14,-,-,1,-,-,641',,
672381,jonathan-rowe,33,9,7,3,-,-,1.842',,
291739,milot-rashica,35,2,2,-,-,-,2.445',,
346499,danel-sinani,47,7,5,-,-,-,2.948',,
570864,tony-springett,26,8,9,3,-,-,2.135',,
393325,josh-sargent,31,6,3,2,-,-,1.976',,
605498,sebastian-soto,20,1,1,-,-,-,485',,
566888,thomas-dickson-peters,25,13,6,2,-,-,1.712',,
696764,abu-kamara,27,15,4,4,-,-,2.354',,
736251,vincent-angelini,-,-,,-,-,-,-,-,-
255744,samir-caetano,38,-,1,9,-,-,3.244',,
192875,william-troost-ekong,18,-,-,3,-,-,1.478',,
60577,nicolas-nkoulou,3,-,-,-,-,-,168',,
371436,francisco-sierralta,8,-,-,1,-,-,698',,
624948,mattie-pollock,39,3,2,1,-,-,3.306',,
591360,derek-agyakwa,-,-,-,-,-,-,-,,
290017,hassane-kamara,30,1,-,6,1,-,2.167',,
610621,james-morris,1,-,-,-,-,-,90',,
486477,edo-kayembe,32,4,2,3,-,-,2.438',,
522131,jaime-alvarado,42,5,3,8,-,-,2.770',,
635336,imran-louza,22,-,-,6,-,-,1.584',,
409106,peter-etebo,10,-,-,3,-,-,487',,
74943,juraj-kucka,27,1,1,4,1,-,1.949',,
733494,kamil-conteh,12,1,-,2,-,-,708',,
236471,ozan-tufan,18,-,-,-,-,-,775',,
271098,philip-zinckernagel,50,7,10,8,-,-,3.420',,
448854,emmanuel-dennis,35,10,6,8,1,-,2.644',,
711247,kwadwo-baah,-,-,-,-,-,-,-,,
875581,adrian-blake,2,1,-,-,-,-,210',,
424051,samuel-kalu,16,1,1,1,-,-,560',,
594276,tiago-cukur,26,1,1,2,-,-,1.247',,
852517,shaqai-forde,3,1,-,-,-,-,226',,
974327,jack-grieves,2,-,-,-,-,-,181',,
733430,sam-waller,24,-,,1,-,-,2.160',31,7
469050,nathan-collins,22,2,-,3,-,1,1.938',,
686839,owen-dodgson,23,2,6,3,-,-,1.890',,
596217,mark-helm,25,-,2,3,-,-,2.250',,
234781,maxwel-cornet,29,9,2,3,1,-,1.942',,
614700,dara-costelloe,22,7,2,6,-,-,1.456',,
228645,wout-weghorst,44,9,4,7,-,-,3.496',,
704801,joe-mcglynn,21,5,2,-,1,-,1.488',,
17259,manuel-neuer,39,-,,-,-,-,3.501',38,14
40680,sven-ulreich,8,-,,-,-,-,720',12,2
80,tom-starke,,,,,,,,,
164145,ivan-lucic,32,-,,3,-,1,2.829',57,5
59016,david-alaba,46,3,4,4,-,-,4.069',,
26485,jerome-boateng,27,-,2,8,-,-,1.824',,
45124,medhi-benatia,6,-,-,-,-,-,330',,
34593,serdar-tasci,,,,,,,,,
16136,dante,38,-,1,6,1,2,3.232',,
54659,holger-badstuber,18,-,-,1,-,-,1.363',,
126719,juan-bernat,16,-,-,2,-,-,974',,
82008,phillipp-steinhart,38,3,3,10,-,-,3.144',,
2219,philipp-lahm,,,,,,,,,
33947,rafinha,50,-,4,9,2,1,3.895',,
44017,javi-martinez,25,4,-,4,-,-,2.092',,
161056,joshua-kimmich,39,3,12,5,-,-,3.406',,
7476,xabi-alonso,,,,,,,,,
37666,arturo-vidal,67,4,5,10,-,-,2.601',,
44466,sebastian-rode,28,1,-,3,-,-,1.201',,
195051,gianluca-gaudino,21,-,2,4,-,-,1.218',,
161204,julian-green,25,1,-,2,-,-,1.170',,
74842,mario-gotze,52,12,11,8,-,-,4.145',,
125105,patrick-weihrauch,14,1,2,1,-,-,697',,
232144,milos-pantovic,32,8,3,3,-,-,1.811',,
243714,kingsley-coman,32,8,6,2,-,1,2.085',,
22068,franck-ribery,23,-,3,3,-,1,1.403',,
337027,fabian-benko,27,5,7,2,-,-,1.340',,
75615,douglas-costa,29,4,1,3,-,2,1.543',,
4360,arjen-robben,,,,,,,,,
58358,thomas-muller,45,13,25,-,-,-,3.565',,
38253,robert-lewandowski,46,50,7,3,-,-,4.006',,
59027,roman-burki,5,-,,-,-,-,450',5,1
26,roman-weidenfeller,,,,,,,,,
104220,hendrik-bonmann,36,-,,3,-,-,3.240',49,6
39728,mats-hummels,32,1,2,5,-,1,2.477',,
124502,matthias-ginter,31,1,-,2,-,-,2.628',,
40995,neven-subotic,,,,,,,,,
299328,patrick-fritsch,,,,,,,,,
35208,marcel-schmelzer,,,,,,,,,
111900,ju-ho-park,32,-,1,4,1,-,2.604',,
25727,lukasz-piszczek,17,-,-,-,-,-,1.521',,
195246,pascal-stenzel,17,-,-,1,-,-,919',,
274461,felix-passlack,16,1,2,-,-,-,795',,
196792,julian-weigl,48,3,5,12,-,-,4.029',,
29993,sven-bender,,,,,,,,,
31095,nuri-sahin,8,-,-,-,-,-,614',,
28947,gonzalo-castro,12,1,1,-,-,-,431',,
53418,kevin-kampl,40,-,1,9,1,-,3.004',,
35207,marco-reus,41,13,18,4,-,-,3.445',,
81785,shinji-kagawa,10,-,1,-,-,-,313',,
7161,jonas-hofmann,28,12,6,1,-,-,2.152',,
73782,adrian-ramos,45,14,5,5,-,-,3.769',,
1667,diego-benaglio,,,,,,,,,
108880,koen-casteels,34,-,,1,-,-,3.060',50,11
32779,max-grun,36,-,,1,-,-,3.240',51,10
192268,niklas-klinger,-,-,,-,-,-,-,-,-
86784,ricardo-rodriguez,36,-,1,4,-,-,2.598',,
94201,robin-knoche,46,1,1,8,-,-,4.170',,
32213,naldo,,,,,,,,,
45448,felipe-lopes,,,,,,,,,
189283,carlos-ascues,33,-,1,9,-,1,2.769',,
158055,moritz-sprenger,,,,,,,,,
35247,vieirinha,38,2,2,3,-,-,2.199',,
8317,marcel-schafer,,,,,,,,,
231586,jannes-horn,15,-,-,3,-,-,758',,
49730,sebastian-jung,7,1,2,1,-,-,630',,
10471,luiz-gustavo,28,1,1,4,-,-,1.965',,
93704,josuha-guilavogui,36,1,1,11,1,-,2.763',,
38440,christian-trasch,,,,,,,,,
117674,maximilian-arnold,41,4,6,7,-,-,3.567',,
183780,paul-seguin,28,-,3,10,-,-,2.227',,
42460,ivan-perisic,49,10,9,4,-,-,3.898',,
4687,aaron-hunt,,,,,,,,,
227967,francisco-rodriguez,32,5,8,3,-,-,1.912',,
85148,julian-draxler,24,2,2,1,-,-,861',,
353108,bruno-henrique,23,3,8,5,-,1,1.595',,
237732,leandro-putaro,33,9,6,1,-,-,2.269',,
38410,daniel-caligiuri,29,4,3,4,-,-,2.062',,
289507,ismail-azzaoui,13,3,3,-,-,-,518',,
157927,sebastian-stolze,33,3,3,3,-,-,1.431',,
36182,max-kruse,37,15,8,1,-,-,2.941',,
56331,bas-dost,35,14,-,1,-,-,1.420',,
34557,nicklas-bendtner,,,,,,,,,
14219,dario-kresic,,,,,,,,,
4746,david-yelldell,,,,,,,,,
43512,omer-toprak,22,1,-,3,-,-,1.604',,
196357,jonathan-tah,42,2,3,4,-,-,3.646',,
206386,tin-jedvaj,25,2,-,8,2,-,2.088',,
58489,kyriakos-papadopoulos,17,-,-,2,-,-,1.265',,
175792,andre-ramalho,37,3,3,5,-,-,3.224',,
227078,lukas-boeder,30,2,-,3,-,-,2.563',,
267330,joel-abu-hanna,10,-,-,1,-,-,589',,
228433,wendell,28,1,1,8,-,1,1.313',,
36914,sebastian-boenisch,,,,,,,,,
88684,giulio-donati,31,-,1,6,1,-,2.345',,
3256,roberto-hilbert,,,,,,,,,
202591,benjamin-henrichs,37,3,4,4,-,-,2.100',,
237444,robin-becker,21,-,-,5,-,1,1.015',,
30059,lars-bender,,,,,,,,,
126414,hakan-calhanoglu,46,8,13,11,-,-,3.356',,
82097,christoph-kramer,19,-,-,1,-,-,829',,
182752,marlon-frey,41,3,1,3,-,-,3.269',,
89701,charles-aranguiz,32,2,4,2,-,-,2.013',,
187492,julian-brandt,40,9,10,3,-,-,2.770',,
157373,vladlen-yurchenko,21,2,2,1,-,-,1.146',,
252088,patrik-dzalto,,,,,,,,,
51972,robbie-kruse,11,1,1,1,-,-,169',,
61087,karim-bellarabi,22,4,5,3,-,-,944',,
66058,admir-mehmedi,10,1,-,1,-,-,354',,
261406,seung-woo-ryu,30,2,-,2,-,-,1.851',,
6237,stefan-kiessling,,,,,,,,,
53408,fabian-giefer,,,,,,,,,
17029,michael-gspurning,,,,,,,,,
195778,alexander-nubel,49,-,,1,-,-,4.440',51,14
1363,christian-wetklo,,,,,,,,,
39020,benedikt-howedes,,,,,,,,,
143559,matija-nastasic,6,-,-,1,-,-,305',,
40478,roman-neustadter,2,-,-,-,-,-,180',,
119031,kaan-ayhan,24,1,-,2,-,1,1.392',,
196231,marvin-friedrich,30,-,-,5,1,-,2.575',,
228948,thilo-kehrer,34,2,-,3,-,-,1.907',,
19354,dennis-aogo,,,,,,,,,
27800,atsuto-uchida,,,,,,,,,
112062,junior-caicara,28,2,-,6,-,-,2.209',,
1662,sascha-riether,,,,,,,,,
89650,johannes-geis,29,3,3,4,-,-,1.960',,
55510,marco-hoger,36,2,2,5,1,-,2.757',,
153084,leon-goretzka,27,3,3,-,-,-,2.029',,
118022,younes-belhanda,24,4,1,3,-,-,1.368',,
118397,alessandro-schopf,40,1,3,3,1,-,2.897',,
227102,fabian-reese,34,2,7,1,-,-,2.408',,
39102,sidney-sam,,,,,,,,,
4357,klaas-jan-huntelaar,,,,,,,,,
59783,franco-di-santo,16,3,-,3,-,-,1.049',,
195782,felix-platte,25,8,6,2,-,-,1.396',,
42205,yann-sommer,36,-,,2,-,-,3.240',63,7
31653,tobias-sippel,1,-,,-,-,-,90',1,-
1144,christofer-heimeroth,,,,,,,,,
62915,alvaro-dominguez,,,,,,,,,
47587,tony-jantschke,3,-,-,-,-,-,227',,
85789,martin-hinteregger,37,1,-,9,1,-,3.040',,
192635,nico-elvedi,31,1,1,3,-,1,2.702',,
568,martin-stranzl,,,,,,,,,
4607,roel-brouwers,,,,,,,,,
19305,oscar-wendt,32,2,1,6,-,-,2.880',,
85867,nico-schulz,24,-,3,4,-,-,1.334',,
77809,julian-korb,22,4,2,5,-,-,1.224',,
168678,marvin-schulz,38,5,2,13,1,1,2.875',,
191422,mahmoud-dahoud,30,2,7,7,1,-,2.230',,
212723,djibril-sow,44,3,6,7,-,-,3.598',,
48298,lars-stindl,29,5,5,11,-,-,1.885',,
151636,marlon-ritter,35,6,1,4,-,-,2.931',,
102226,thorgan-hazard,30,6,1,2,-,-,1.656',,
31041,fabian-johnson,,,,,,,,,
32711,patrick-herrmann,26,-,6,1,-,-,864',,
47285,ibrahima-traore,,,,,,,,,
42783,andre-hahn,34,6,3,6,-,-,2.267',,
19819,raffael,3,-,-,-,-,-,68',,
171209,branimir-hrgota,35,10,6,4,-,-,2.911',,
55089,oliver-baumann,35,-,,1,-,-,3.150',62,8
40034,jens-grahl,1,-,,-,-,-,90',2,-
10329,alexander-stolz,,,,,,,,,
166601,niklas-sule,38,1,2,3,-,-,2.516',,
51676,ermin-bicakcic,1,-,-,-,-,-,4',,
227084,benedikt-gimber,32,3,4,14,-,-,2.680',,
132529,jin-su-kim,43,2,5,6,-,-,3.580',,
143798,pavel-kaderabek,19,1,3,5,-,-,1.198',,
129674,jeremy-toljan,20,-,-,2,-,-,1.397',,
57051,sebastian-rudy,24,3,1,5,-,-,926',,
19548,eugen-polanski,,,,,,,,,
14533,pirmin-schwegler,,,,,,,,,
57845,tobias-strobl,6,-,-,2,-,-,444',,
232454,nadiem-amiri,33,2,4,-,-,-,1.337',,
184133,russell-canouse,18,1,1,4,-,-,1.194',,
70285,jonathan-schmid,17,1,1,-,-,-,862',,
63833,jiloan-hamad,28,6,6,3,-,-,2.287',,
68033,steven-zuber,39,8,4,1,-,-,2.943',,
207592,philipp-ochs,23,1,1,2,-,-,944',,
6791,kai-herdling,,,,,,,,,
161072,baris-atik,38,21,23,11,-,-,3.163',,
82009,kevin-volland,51,15,13,12,-,-,3.730',,
89718,eduardo-vargas,39,6,5,5,1,-,1.825',,
37287,tarik-elyounoussi,37,1,3,2,-,-,1.678',,
112935,mark-uth,33,5,9,4,-,-,2.295',,
39106,adam-szalai,26,5,2,1,-,-,1.137',,
1331,kevin-kuranyi,,,,,,,,,
24001,gianluca-curci,,,,,,,,,
160954,jannik-huth,35,-,,-,-,-,3.150',46,8
160963,robin-zentner,35,-,,1,-,-,3.210',49,10
196842,daniel-zeaiter,29,-,,-,-,-,2.610',38,10
82350,stefan-bell,36,2,-,10,-,-,3.140',,
30070,niko-bungert,,,,,,,,,
40429,gonzalo-jara,14,-,1,5,-,-,1.083',,
48931,henrique-sereno,,,,,,,,,
126281,alexander-hack,30,3,1,6,-,1,2.249',,
50577,pierre-bengtsson,30,-,-,1,-,-,1.818',,
127177,gaetan-bussmann,17,1,-,3,-,-,1.013',,
43984,daniel-brosinski,12,-,-,-,-,-,421',,
34787,julian-baumgartlinger,7,-,-,1,-,-,87',,
52595,fabian-frei,49,3,2,12,-,-,3.989',,
15045,niki-zimling,14,-,-,1,-,1,872',,
91841,ja-cheol-koo,20,1,1,5,1,-,1.007',,
39025,danny-latza,16,2,-,5,-,-,753',,
55519,christoph-moritz,5,-,-,2,1,-,139',,
261905,suat-serdar,35,4,2,8,-,-,2.593',,
40937,elkin-soto,,,,,,,,,
85352,yunus-malli,10,-,-,1,-,-,234',,
75446,pablo-de-blasis,37,4,8,4,-,-,2.729',,
217593,todor-nedelev,30,6,7,1,-,-,2.279',,
60394,philipp-klement,19,4,5,1,-,-,1.404',,
159522,patrick-pflucke,42,14,15,1,-,-,3.703',,
87650,julian-maurice-derstroff,30,2,2,6,-,-,1.237',,
171167,jairo-samperio,21,-,3,2,-,-,944',,
58379,maximilian-beister,9,-,1,2,-,-,418',,
196836,devante-parker,,,,,,,,,
185245,jhon-cordoba,16,6,4,2,-,-,1.029',,
44713,christian-clemens,12,1,-,2,-,-,437',,
234375,emil-berggreen,15,8,-,4,1,-,1.014',,
152963,florian-niederlechner,27,6,6,1,-,-,1.234',,
119234,karim-onisiwo,33,7,10,-,-,-,2.536',,
33210,przemyslaw-tyton,-,-,,-,-,-,-,-,-
49347,mitchell-langerak,41,-,,1,-,-,3.609',41,17
124419,odysseas-vlachodimos,48,-,,3,-,-,4.320',51,18
120296,benjamin-uphoff,4,-,,-,-,-,390',10,-
45599,emiliano-insua,42,-,1,10,-,-,3.699',,
187491,timo-baumgartl,35,1,2,6,-,-,3.081',,
60790,toni-sunjic,29,1,3,5,-,-,2.320',,
165873,federico-barba,33,3,-,5,-,-,2.797',,
38434,daniel-schwaab,,,,,,,,,
31570,georg-niedermeier,,,,,,,,,
86204,stephen-sama,,,,,,,,,
62800,adam-hlousek,17,1,2,3,-,-,1.083',,
44521,kevin-grosskreutz,37,8,2,1,-,-,3.174',,
20276,florian-klein,,,,,,,,,
86848,matthias-zimmermann,29,3,1,-,-,-,2.437',,
77708,geoffroy-serey-die,11,-,3,4,-,-,707',,
189475,carlos-gruezo,18,-,-,7,-,-,998',,
170523,mart-ristl,38,1,1,12,2,-,3.319',,
19112,christian-gentner,40,-,4,2,-,-,2.680',,
119581,marvin-wanitzek,36,10,12,6,1,-,3.199',,
161011,filip-kostic,43,7,15,3,-,-,3.664',,
57995,daniel-didavi,14,1,2,2,-,-,537',,
129513,alexandru-maxim,34,15,8,8,-,-,2.754',,
106872,kevin-stoger,25,1,1,3,-,-,535',,
247380,arianit-ferati,16,-,-,1,-,-,899',,
138292,boris-tashchy,,,,,,,,,
31159,martin-harnik,26,36,11,-,-,-,1.984',,
58405,artem-kravets,1,-,-,-,-,-,10',,
79501,daniel-ginczek,12,3,1,1,-,1,539',,
218299,jan-kliment,25,4,2,4,-,-,1.512',,
24112,rune-jarstein,,,,,,,,,
39732,thomas-kraft,,,,,,,,,
196382,marius-gersbeck,32,-,,-,-,1,2.900',44,8
36898,sascha-burchert,14,-,,-,-,-,1.260',28,3
241974,nils-jonathan-korber,8,-,,-,-,-,720',13,3
124732,john-anthony-brooks,36,1,1,5,1,-,3.037',,
42203,fabian-lustenberger,25,-,-,4,-,-,1.718',,
162434,niklas-stark,30,1,-,4,-,-,2.251',,
39094,sebastian-langkamp,,,,,,,,,
178641,shawn-kauter,8,-,-,1,-,-,715',,
241970,nico-beyer,13,3,-,-,-,-,953',,
89592,marvin-plattenhardt,25,1,5,3,-,-,1.989',,
31218,johannes-van-den-bergh,20,-,2,1,-,-,1.356',,
282660,maximilian-mittelstadt,26,-,5,3,-,-,1.674',,
119211,mitchell-weiser,25,2,2,1,-,-,1.383',,
51100,peter-pekarik,31,-,-,1,-,-,2.552',,
94199,tolga-cigerci,32,1,1,7,-,-,2.464',,
170522,yanni-regasel,12,-,-,2,-,-,664',,
179643,vladimir-darida,29,2,5,6,-,-,1.942',,
18918,per-ciljan-skjelbred,21,-,2,-,-,-,624',,
51168,jens-hegeler,,,,,,,,,
172168,florian-kohls,31,2,1,1,-,-,2.744',,
79377,genki-haraguchi,42,2,6,3,-,-,2.513',,
35872,anis-ben-hatira,11,2,2,3,-,-,662',,
16474,alexander-baumjohann,,,,,,,,,
43847,ronny,,,,,,,,,
7971,salomon-kalou,,,,,,,,,
45178,valentin-stocker,39,10,9,7,-,-,2.254',,
170530,sinan-kurt,,,,,,,,,
25427,roy-beerens,,,,,,,,,
58124,julian-schieber,,,,,,,,,
21175,vedad-ibisevic,,,,,,,,,
37013,sami-allagui,,,,,,,,,
48015,lukas-hradecky,41,-,,2,-,-,3.690',54,11
59082,heinz-lindner,50,-,,-,-,-,4.530',56,17
236366,emil-balayev,6,-,,-,-,-,540',6,3
215784,yannick-zummack,20,-,,2,-,-,1.727',22,7
53533,carlos-zambrano,29,-,1,10,1,1,2.273',,
16520,marco-russ,,,,,,,,,
58178,david-abraham,,,,,,,,,
39259,makoto-hasebe,26,-,-,1,-,-,1.712',,
78553,bamba-anderson,,,,,,,,,
53437,bastian-oczipka,21,-,2,1,-,-,1.197',,
41866,constant-djakpa,,,,,,,,,
49723,timothy-chandler,22,-,1,6,-,-,1.546',,
74295,aleksandar-ignjovski,5,-,-,-,-,-,260',,
48164,slobodan-medojevic,26,-,1,9,-,-,1.934',,
279657,nico-rinderknecht,29,1,-,8,-,1,2.141',,
43274,stefan-reinartz,,,,,,,,,
160943,marc-stendera,12,-,-,-,-,-,887',,
38415,johannes-flum,16,1,1,-,-,-,364',,
196834,david-kinsombi,29,2,3,1,-,-,1.253',,
18331,szabolcs-huszti,,,,,,,,,
67685,marco-fabian,13,1,3,4,-,-,821',,
215864,mijat-gacinovic,23,-,5,4,-,-,1.240',,
196770,joel-gerezgiher,24,3,3,7,-,-,1.590',,
78950,sonny-kittel,40,9,18,5,-,-,3.252',,
98249,takashi-inui,16,5,1,4,-,-,973',,
35183,stefan-aigner,,,,,,,,,
1565,alexander-meier,,,,,,,,,
109256,haris-seferovic,15,5,3,-,-,-,529',,
91915,luc-castaignos,15,2,-,2,-,-,756',,
91423,vaclav-kadlec,12,1,2,1,-,-,402',,
196095,luca-waldschmidt,19,3,2,3,-,-,981',,
261943,enis-bunjaki,7,-,-,1,-,-,504',,
59238,marwin-hitz,6,-,,-,-,-,494',12,1
156676,ioannis-gelios,14,-,,-,-,1,1.105',24,5
265398,yannik-oettl,19,-,,2,-,-,1.710',30,4
106405,jeffrey-gouweleeuw,30,2,-,9,-,-,2.698',,
126638,jeong-ho-hong,26,1,3,4,-,1,2.172',,
3851,jan-ingwer-callsen-bracker,,,,,,,,,
14977,christoph-janker,,,,,,,,,
202838,max-reinthaler,35,1,1,7,-,-,2.591',,
111275,philipp-max,48,2,6,5,-,-,3.722',,
156730,arif-ekin,26,4,4,10,-,-,2.013',,
18021,paul-verhaegh,,,,,,,,,
65781,daniel-opare,14,-,-,1,-,-,937',,
146163,raphael-framberger,24,-,-,3,-,-,927',,
4018,daniel-baier,,,,,,,,,
118847,dominik-kohr,24,-,3,9,2,-,1.862',,
168186,marco-schuster,34,-,4,7,-,-,2.782',,
156781,maik-uhde,25,1,-,11,2,1,2.186',,
111277,tim-rieder,31,-,1,4,-,-,2.392',,
63022,jan-moravek,18,-,-,1,-,-,524',,
1986,markus-feulner,,,,,,,,,
238541,bastian-kurz,31,13,-,12,1,-,2.694',,
1791,halil-altintop,,,,,,,,,
2623,piotr-trochowski,,,,,,,,,
156779,erik-thommy,25,3,3,1,-,-,1.247',,
45662,alexander-esswein,26,2,-,4,-,-,1.303',,
26878,tobias-werner,,,,,,,,,
54137,caiuby,18,5,-,6,-,-,1.502',,
51356,raul-bobadilla,12,6,1,3,1,-,671',,
90024,alfred-finnbogason,12,2,1,-,-,-,421',,
50303,tim-matavz,28,4,-,2,-,1,1.709',,
164265,dong-won-ji,4,-,-,-,-,-,83',,
17689,sascha-molders,34,10,6,10,-,-,2.800',,
89659,shawn-parker,,,,,,,,,
84938,timo-horn,13,-,,-,-,-,1.170',21,1
5072,thomas-kessler,,,,,,,,,
150080,daniel-mesenholer,11,-,,-,-,-,1.020',13,4
110036,dominique-heintz,9,-,-,-,-,-,592',,
84435,kevin-vogt,33,-,2,7,-,-,2.855',,
91716,frederik-sorensen,29,2,-,12,-,-,2.311',,
41023,dominic-maroh,,,,,,,,,
38267,mergim-mavraj,15,-,-,4,-,-,1.324',,
108537,jonas-hector,33,-,6,4,-,-,2.886',,
168063,filip-mladenovic,37,1,5,12,-,1,3.018',,
34543,dusan-svento,,,,,,,,,
282577,lukas-klunter,6,-,-,1,-,-,237',,
1126,matthias-lehmann,,,,,,,,,
119277,yannick-gerhardt,33,1,6,2,-,-,1.756',,
160285,milos-jojic,53,7,14,8,-,-,3.789',,
263685,kazuki-nagasawa,8,-,-,1,-,-,309',,
189073,marcel-hartel,34,2,8,4,-,-,2.877',,
93844,leonardo-bittencourt,22,2,4,8,-,-,1.547',,
51176,marcel-risse,35,5,7,3,-,-,2.839',,
117469,pawel-olkowski,4,-,-,-,-,-,227',,
50512,anthony-modeste,35,23,4,4,-,-,2.786',,
79967,simon-zoller,11,4,3,3,-,-,714',,
108650,yuya-osako,37,13,2,2,-,-,2.378',,
37788,philipp-hosiner,26,5,7,7,-,-,1.428',,
202925,bard-finne,37,27,11,1,-,-,1.687',,
44594,felix-wiedwald,-,-,,1,-,-,-,-,-
39306,raphael-wolf,7,-,,-,-,-,545',10,-
196813,michael-zetterer,12,-,,2,-,-,1.080',19,4
152460,eric-oelschlagel,7,-,,-,-,-,609',10,2
128488,alejandro-galvez,13,-,-,2,2,-,712',,
90489,santiago-garcia,18,-,2,4,1,-,1.587',,
32618,assani-lukimya,11,13,3,-,-,-,960',,
202228,milos-veljkovic,26,1,1,4,-,-,2.307',,
109436,oliver-husing,34,2,1,3,-,-,3.090',,
69436,mateo-pavlovic,28,2,-,10,-,-,2.344',,
192616,ulisses-garcia,39,4,7,7,1,-,2.906',,
89542,janek-sternberg,30,-,1,3,-,-,1.934',,
